Name,Category,Safety statement,Classification 1,Classification 2,Classification 3
difelikefalin ,B1,,Allergy and Immune System,Immunomodifiers,
diflunisal,C,"Non-steroidal anti-inflammatory (NSAIDs) agents inhibit prostaglandin synthesis which may adversely affect pregnancy. Refer to the relevant texts in the Product Information of individual NSAID products for information regarding the suitability for use in pregnancy. 

Epidemiological studies suggest an increased risk of spontaneous abortion after use of prostaglandin synthesis inhibitors in early pregnancy.

When given during the latter part of pregnancy, may cause closure of the fetal ductus arteriosus, oligohydramnios, fetal renal impairment, inhibition of platelet aggregation, and delay labour and birth.

Continuous treatment with NSAIDs during the last trimester of pregnancy should only be given on sound indications. During the last few days before expected birth, agents with an inhibitory effect on prostaglandin synthesis should be avoided.",Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),
digoxin and other cardiac glycosides,A,,Cardiovascular System,Cardiac inotropic agents,
digoxin immune fab,B2,,"Detoxifying Agents, Antidotes ",,
digoxin-specific antibody fragment F(Ab) (Ovine),B2,,"Detoxifying Agents, Antidotes ",,
dihydrocodeine,A,Prolonged high-dose use of codeine prior to delivery may produce codeine withdrawal symptoms in the neonate.,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics
dihydrocodeine,A,,Respiratory System,Antitussives,
dihydroergotamine,C,Standard oral dose regimens for migraine headaches in the first half of pregnancy do not appear to pose hazards to the fetus. Ergotamine induces uterine contraction and may therefore cause premature parturition or hypertonic labour. Larger doses or more frequent use may jeopardise the fetus because of the potential for impeding fetal blood supply.,Cardiovascular System,Antimigraine preparations,
dihydrotachysterol,B3,,Endocrine System,Agents affecting calcium and bone metabolism,
diltiazem,C,Calcium channel blockers carry the potential to produce fetal hypoxia associated with maternal hypotension.  ,Cardiovascular System,Antihypertensives,Calcium channel blockers
dimenhydrinate,A,,Central Nervous System,"Antiemetics, antinauseants",
dimethyl fumarate,B1,,Allergy and Immune System,Immunomodifiers,
dinoprost,C,,Genitourinary System,Agents acting on the uterus,
dinoprostone (prostaglandin E2),C,There have been instances of idiosyncratic sensitivity of the uterus resulting in fetal anoxia.,Genitourinary System,Agents acting on the uterus,
dinutuximab beta,C,"Based on the mechanism of action, dinutuximab beta has the potential to affect embryofetal development and cause fetal harm. ",Antineoplastic Agents,Monoclonal antibodies,
diphenhydramine,A,,Allergy and Immune System,Antihistamines,
diphenhydramine,A,,Central Nervous System,"Antiemetics, antinauseants",
diphenoxylate,C,This drug is chemically related to the narcotic analgesic pethidine. Narcotic analgesics may cause respiratory depression in the newborn infant. This drug should not be given at or near term.,Alimentary System,Antidiarrhoeals,
diphenylamine,A,,Allergy and Immune System,Antihistamines,
diphenylpyraline,B2,,Allergy and Immune System,Antihistamines,
diphtheria-tetanus vaccine,A,,Vaccines,Subunit vaccines,Toxoid vaccines
diphtheria-tetanus-pertussis vaccine,A,,Vaccines,Toxoid vaccines,
diphtheria-tetanus-pertussis-hepatitis B- inactivated poliomyelitis-Haemophilus influenzae type b conjugate vaccine ,B2,,Vaccines,Killed vaccines,
diphtheria-tetanus-pertussis-hepatitis B- inactivated poliomyelitis-Haemophilus influenzae type b vaccine ,B1 or B2 (depending on brand of vaccine),,Vaccines,Killed vaccines,
diphtheria-tetanus-pertussis-inactivated poliomyelitis vaccine,A,,Vaccines,Killed vaccines,
dipivefrine,B2,,Ophthalmic Drugs,,
dipyridamole,B1,,Cardiovascular System,Vasodilators,
diroximel fumarate,B3,,Allergy and Immune System,Immunomodifiers,
disopyramide,B2,,Cardiovascular System,Antiarrhythmics,
disulfiram,B2,,Agents used in dependency states,,
dithranol,B2,,Drugs used in Dermatology,Topical,
dobutamine,B2,,Cardiovascular System,Adrenergic stimulants,
docetaxel,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antimetabolites,
docusate sodium,A,,Alimentary System,Laxatives,
dofetilide,D,This drug has been shown to cause fetal deths and abnormalities when administered to animals during gestation.,Cardiovascular System,Antiarrhythmics,
dolasetron,B1,,Central Nervous System,"Antiemetics, antinauseants",
dolutegravir,B1,,Antimicrobials,Antiviral agents,
dolutegravir / abacavir / lamivudine,B3,,Antimicrobials,Antiviral agents,
domperidone,B2,,Central Nervous System,"Antiemetics, antinauseants",
donepezil,B3,,Cholinergic and Anticholinergic Agents,,
dopamine,B3,,Cardiovascular System,Adrenergic stimulants,
doripenem ,B2,,Antimicrobials,Antibiotics,
dornase alfa,B1,,Respiratory System,,
dorzolamide,B3,,Ophthalmic Drugs,,
dorzolamide / timolol,C,Beta-adrenergic blocking agents may cause pharmacological effects such as bradycardia in the fetus and newborn infant. ,Ophthalmic Drugs,,
dostarlimab,D,"PD-1/PD-L1 is involved in fetomaternal tolerance. Administration during pregnancy may cause fetal harm, including abortion or stillbirth.",Antineoplastic Agents,Monoclonal antibodies,
dosulepin,C,Withdrawal symptoms in newborn infants have been reported with prolonged maternal use of tricyclic antidepressants.,Central Nervous System,Antidepressants,Tricyclic antidepressants
dothiepin (dosulepin),C,Withdrawal symptoms in newborn infants have been reported with prolonged maternal use of tricyclic antidepressants.,Central Nervous System,Antidepressants,Tricyclic antidepressants
doxazosin,B3,,Cardiovascular System,Antihypertensives,
doxepin,C,Withdrawal symptoms in newborn infants have been reported with prolonged maternal use of tricyclic antidepressants.,Central Nervous System,Antidepressants,Tricyclic antidepressants
doxorubicin,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antibiotic cytotoxic agents,
doxycycline,D,Tetracyclines are safe for use during the first 18 weeks of pregnancy (16 weeks post conception) after which they cause discolouration of the baby’s teeth. ,Antimicrobials,Antibiotics,Tetracyclines
doxycycline (antimalarial),D,Tetracyclines are safe for use during the first 18 weeks of pregnancy (16 weeks post conception) after which they cause discolouration of the baby’s teeth. The use of this drug in the treatment of malaria is accepted because the small risk to the fetus is outweighed by the benefits to the mother and fetus.  Prophylaxis in high risk situations is also justified.,Antimicrobials,Antimalarials,
doxylamine,A,,Allergy and Immune System,Antihistamines,
dronedarone,D,,Cardiovascular System,Antiarrhythmics,
droperidol,C,"When given in high doses during late pregnancy, butyrophenones may cause prolonged neurological disturbances in the newborn infant.",Central Nervous System,Antipsychotic drugs,Butyrophenones
drospirenone with ethinylestradiol,B3,,Contraceptive Agents,Oral contraceptives,
drotrecogin alfa,C,,Cardiovascular System,Haemostatic agents,
dulaglutide,B3,,Endocrine System,Hypoglycaemic agents,
duloxetine,B3,Selective serotonin reuptake inhibitors (SSRIs) have had limited use in pregnancy without a reported increase in birth defects.  The use of SSRIs in the third trimester may result in a withdrawal state in the newborn infant.,Central Nervous System,Antidepressants,Selective serotonin reuptake inhibitors (SSRIs)
dupilumab,B1,,Allergy and Immune System,Immunomodifiers,
durvalumab,D,"PD-1/PD-L1 is involved in fetomaternal tolerance. Administration during pregnancy may cause fetal harm, including abortion or stillbirth.",Antineoplastic Agents,Monoclonal antibodies,
dutasteride,X,Dutasteride may cause abnormalities of the external genitalia of a male fetus.,Genitourinary System,Prostate hyperplasia,
dydrogesterone with estradiol,B3,,Endocrine System,Progestogens (see also oral contraceptives),
econazole,A,,Drugs used in Dermatology,"Topical antifungals, antiseptics (see also antifungal agents)",
econazole,A,,Genitourinary System,Topical vaginal medication,
ecothiopate,B2,,Ophthalmic Drugs,,
eculizumab,B2,,Allergy and Immune System,Immunomodifiers,
edaravone,B3,,Central Nervous System,,
efalizumab,C,,Allergy and Immune System,Immunomodifiers,
efavirenz,D,"This drug may cause fetal harm when administered during the first trimester to a pregnant woman. It crossed the placenta and was teratogenic (anencephaly, unilateral anophthalmia, microophthalmia and/or cleft palate) in cynomolgus monkeys.",Antimicrobials,Antiviral agents,
eflornithine,B3,,Drugs used in Dermatology,Topical,
eformoterol (formoterol),B3,,Respiratory System,Inhalational agents,Bronchospasm relaxants
efraloctocog alfa (rhu),C,,Cardiovascular System,Haemostatic agents,
eftrenonacog alfa (rhu),C,,Cardiovascular System,Haemostatic agents,
elbasvir / grazoprevir,B1,,Antimicrobials,Antiviral agents,
eletriptan,B1,,Cardiovascular System,Antimigraine preparations,
eliglustat,B3,,Metabolism,Agents used for the treatment of metabolic disorders,
elosulfase alfa (rch),B3,,Metabolism,Agents used for the treatment of metabolic disorders,
elotuzumab,C,"Based on its pharmacology, maternal treatment with elotuzumab may have effects on fetal immune cells and maternal tolerance.",Antineoplastic Agents,Monoclonal antibodies,
elranatamab,C,"Based on the mechanism of action, elranatamab may cause fetal harm, including  B-cell lymphocytopenia, when administered to a pregnant woman. Fetal B-cell depletion poses a risk of opportunistic infections in the neonate. Elranatamab-induced cytokine release may also pose a risk for embryofetal loss.",Antineoplastic Agents,Monoclonal antibodies,
eltrombopag,B3,,Blood and Haemopoietic System,Haemopoietic agents,
elvitegravir,B2,,Antimicrobials,Antiviral agents,
elvitegravir / cobicistat / emtricitabine / tenofovir alafenamide,B3,,Antimicrobials,Antiviral agents,
emetine,A,,Respiratory System,Expectorants and mucolytics,
emicizumab,B2,,Cardiovascular System,Haemostatic agents,
empagliflozin,D,Studies in rats have shown toxicity to the developing kidney in the time period corresponding to the second and third trimesters of human pregnancy.,Endocrine System,Hypoglycaemic agents,
empagliflozin / linagliptin,D,Studies with empagliflozin in rats have shown toxicity to the developing kidney in the time period corresponding to the second and third trimesters of human pregnancy.,Endocrine System,Hypoglycaemic agents,
empagliflozin / metformin,D,Studies with empagliflozin in rats have shown toxicity to the developing kidney in the time period corresponding to the second and third trimesters of human pregnancy.,Endocrine System,Hypoglycaemic agents,
emtricitabine,B1,,Antimicrobials,Antiviral agents,
emtricitabine / ripilvirine / tenofovir alafenamide,B3,,Antimicrobials,Antiviral agents,
emtricitabine / tenofovir alafenamide,B3,,Antimicrobials,Antiviral agents,
emtricitabine / tenofovir disoproxil fumarate,B3,,Antimicrobials,Antiviral agents,
emtricitabine / tenofovir disoproxil fumarate / rilpivirine,B3,,Antimicrobials,Antiviral agents,
emtricitabine / tenofovir disoproxil maleate,B3,,Antimicrobials,Antiviral agents,
enalapril,D,"When taken during the second and third trimesters, ACE inhibitors cause a range of abnormalities including renal dysfunction and oligohydramnios. These can be associated with fetal death in utero. Although no adverse fetal effects have been linked to first trimester drug use of ACE inhibitors, the number of exposures reported is too small to determine conclusively that ACE inhibitors are safe in the first trimester.  Pregnant women who are taking ACE inhibitors should be changed as quickly as possible to other antihypertensive medication to maintain normal blood pressure.  It is generally advisable not to use ACE inhibitors for the management of hypertension in women who are likely to become pregnant.",Cardiovascular System,Antihypertensives,Angiotensin converting enzyme (ACE) inhibitors
enasidenib,D,Enasidenib can cause embryofetal harm when administered to a pregnant woman based on adverse findings in animal studies.,Antineoplastic Agents,,
encorafenib,D,"Based on results from animal studies, encorafenib may harm the fetus. Encorafenib should not be administered during pregnancy unless the benefits for the mother outweigh the risks for the fetus. If encorafenib is used during pregnancy or if the patient becomes pregnant while taking encorafenib, the patient should be informed of the potential hazard to the fetus.",Antineoplastic Agents,,
enflurane,A,"All general anaesthetics carry the potential to produce central nervous system and respiratory depression in the newborn infant. In routine practice this does not appear to be a problem. However, in the compromised fetus, careful consideration should be given to this potential depression and to the selection of particular anaesthetic drugs, doses and techniques.",Drugs Used in Anaesthesia,General anaesthetics,
enfortumab vedotin,D,"Based on its mechanism of action and findings in animals, enfortumab vedotin can cause fetal harm. ",Antineoplastic Agents,,
enfuvirtide,B2,,Antimicrobials,Antiviral agents,
enoxacin,B3,,Antimicrobials,Antibiotics,Quinolones
enoxaparin,C,All anticoagulants and thrombolytic agents can produce placental haemorrhage and subsequent prematurity and fetal loss.,Cardiovascular System,Anticoagulants and thrombolytic agents,
entacapone,B3,,Central Nervous System,Antiparkinson agents,
entecavir,B3,,Antimicrobials,Antiviral agents,
entrectinib,D,"Based on its mechanism of action and findings in animal studies, entrectinib may cause fetal malformations.",Antineoplastic Agents,Tyrosine kinase inhibitors,
enzalutamide,X,"Teratogenicity (cleft palate, cervical rib and decreased anogenital distance) and embryofetal lethality were seen in a mouse embryofetal development study.",Antineoplastic Agents,Hormonal antineoplastic agents,
epcoritamab,C,"Based on the mechanism of action, epcoritamab may cause fetal harm, including  B-cell lymphocytopenia, when administered to a pregnant woman. Fetal B-cell depletion poses a risk of opportunistic infections in the neonate. Epcoritamab-induced cytokine release may also pose a risk for embryofetal loss.",Antineoplastic Agents,Monoclonal antibodies,
ephedrine,A,,Cardiovascular System,Adrenergic stimulants,
ephedrine,A,,Respiratory System,Inhalational agents,Bronchospasm relaxants
epirubicin,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antibiotic cytotoxic agents,
eplerenone,B3,,Cardiovascular System,Diuretics,
epoetin alfa,B3,,Blood and Haemopoietic System,Haemopoietic agents,
epoetin beta (rch),B3,,Blood and Haemopoietic System,Haemopoietic agents,
epoetin lambda (rch),B3,,Blood and Haemopoietic System,Haemopoietic agents,
epoprostenol,B1,,Cardiovascular System,Vasodilators,
eprosartan,D,"When used in pregnancy during the second and third trimesters, drugs that act directly on the renin-angiotensin system can cause injury and even death in the developing fetus. Although no adverse fetal effects have been linked to first trimester drug use of ARAs, the number of exposures reported is too small to determine conclusively that ARAs are safe in the first trimester. Pregnant women who are taking ARAs should be changed as quickly as possible to other antihypertensive medication to maintain normal blood pressure. It is generally advisable not to use ARAs for the management of hypertension in women who are likely to become pregnant.",Cardiovascular System,Antihypertensives,Angiotensin II receptor antagonists and renin inhibitors
eptacog alfa (activated Factor VII - rch),B1,,Cardiovascular System,Haemostatic agents,
eptifibatide,C,All anticoagulants and thrombolytic agents can produce placental haemorrhage and subsequent prematurity and fetal loss.,Cardiovascular System,Anticoagulants and thrombolytic agents,
eptinezumab,B1,,Central Nervous System,,
eptotermin alfa,D,"Altering the normal levels of bone morphogenic proteins, including this protein in the embryo may alter the normal course of action of these agents, and possibly result in fetal malformation. ",Musculoskeletal System,Osteogenic agents,
erenumab,B1,,Cardiovascular System,Antimigraine preparations,
ergometrine,C,This drug induces uterine contraction and may cause premature or hypertonic labour. Products containing ergometrine should be avoided during pregnancy.,Genitourinary System,Agents acting on the uterus,
ergotamine,C,Standard oral dose regimens for migraine headaches in the first half of pregnancy do not appear to pose hazards to the fetus. Ergotamine induces uterine contraction and may therefore cause premature parturition or hypertonic labour. Larger doses or more frequent use may jeopardise the fetus because of the potential for impeding fetal blood supply.,Cardiovascular System,Antimigraine preparations,
eribulin,D,"Eribulin is embryotoxic, fetotoxic and teratogenic in rats at less than the recommended human dose based on body surface area.",Antineoplastic Agents,,
erlotinib,C,This drug inhibits EGFR. EGFR plays an important role in embryofetal development.,Antineoplastic Agents,Tyrosine kinase inhibitors,
ertapenem,B3,,Antimicrobials,Antibiotics,
ertugliflozin pyroglutamic acid,D,"Based on results from animal studies, ertugliflozin may affect renal development and maturation. Use in during pregnancy is not recommended.",Endocrine System,Hypoglycaemic agents,
ertugliflozin pyroglutamic acid; Metformin hydrochloride,D,"Based on results from animal studies, ertugliflozin may affect renal development and maturation. No animal embryofetal development studies have been performed with ertugliflozin and metformin in combination. Use in pregnancy is not recommended.",Endocrine System,Hypoglycaemic agents,
ertugliflozin pyroglutamic acid; sitagliptin phosphate monohydrate,D,"Based on results from animal studies, ertugliflozin may affect renal development and maturation. No animal embryofetal development studies have been performed with ertugliflozin and sitagliptin in combination. Use in pregnancy is not recommended.",Endocrine System,Hypoglycaemic agents,
erythromycin,A,,Antimicrobials,Antibiotics,Macrolide antibiotics
erythropoietin,B3,,Blood and Haemopoietic System,Haemopoietic agents,
escitalopram,C,Selective serotonin reuptake inhibitors (SSRIs) have had limited use in pregnancy without a reported increase in birth defects.  The use of SSRIs in the third trimester may result in a withdrawal state in the newborn infant.,Central Nervous System,Antidepressants,Selective serotonin reuptake inhibitors (SSRIs)
esketamine                                                                      ,B3,,Central Nervous System,Antidepressants,
eslicarbazepine acetate,D,"Embyrofetal effects have been observed in animals including increases in pre-and post-implantation loss, decreases in fetal weight, an increased incidence of major and minor malformations and variations, at subclinical doses. Effects include minor and major rib abnormalities, cleft palate, missing thoracic neural arches and offset or hemicentric thoracic centra in mice, pelvic cavitation of the kidney, missing caudal vertebra, ossification delays and ridged palate.",Central Nervous System,Anticonvulsants/antiepileptics,
esmolol,C,Beta-adrenergic blocking agents may cause pharmacological effects such as bradycardia in the fetus and newborn infant. ,Cardiovascular System,Beta-adrenergic blocking agents,
esomeprazole,B3,,Alimentary System,"Hyperacidity, reflux, ulcers",
estetrol (as monohydrate),B3,,Endocrine System,Oestrogens (see also oral contraceptives),
estradiol,B3,,Endocrine System,Oestrogens (see also oral contraceptives),
estramustine,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Alkylating agents,
estriol,B1,,Endocrine System,Oestrogens (see also oral contraceptives),
estropipate,B1,,Endocrine System,Oestrogens (see also oral contraceptives),
etacrynic acid,C,"Thiazides, related diuretics and loop diuretics may cause electrolyte disturbances in the fetus. Neonatal thrombocytopenia has been reported with thiazides and related diuretics. Loop diuretics, like frusemide and bumetanide, are probably also associated with this risk. During the latter part of pregnancy products of this type should only be given on sound indications, and then in the lowest effective dose.",Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics"
etanercept,D,Etanercept crosses the placenta and has been detected in the serum of  infants born to female patients treated with etanercept. Infants may be at increased risk of infection. ,Allergy and Immune System,Immunomodifiers,
ethambutol,A,,Antimicrobials,Antituberculotics and antileprotics,
ethinylestradiol,B3,,Endocrine System,Oestrogens (see also oral contraceptives),
ethosuximide,D,"Compared to conventional anticonvulsants, the extent of the risk of this drug is unknown.",Central Nervous System,Anticonvulsants/antiepileptics,
etidocaine,B1,,Drugs Used in Anaesthesia,Local anaesthetics,
etidronate disodium,B3,,Endocrine System,Agents affecting calcium and bone metabolism,
etonogestrel,B3,,Contraceptive Agents,,
etoposide,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,,
etoricoxib,C,"Non-steroidal anti-inflammatory (NSAIDs) agents inhibit prostaglandin synthesis which may adversely affect pregnancy. Refer to the relevant texts in the Product Information of individual NSAID products for information regarding the suitability for use in pregnancy. 

Epidemiological studies suggest an increased risk of spontaneous abortion after use of prostaglandin synthesis inhibitors in early pregnancy.

When given during the latter part of pregnancy, may cause closure of the fetal ductus arteriosus, oligohydramnios, fetal renal impairment, inhibition of platelet aggregation, and delay labour and birth.

Continuous treatment with NSAIDs during the last trimester of pregnancy should only be given on sound indications. During the last few days before expected birth, agents with an inhibitory effect on prostaglandin synthesis should be avoided.",Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),
etrasimod arginine,D,"Administration of etrasimod during pregnancy in rats and rabbits produced adverse effects on development, including embryolethality, fetal malformations and an increased number of stillbirths.",Allergy and Immune System,Immunomodifiers,
etravirine,B1,,Antimicrobials,Antiviral agents,
etretinate,X,"This drug is teratogenic at doses within the therapeutic range. The drug is stored in the body for several months after cessation. Because of the long half-life of this drug and storage in fat, patients are advised not to conceive until two years after cessation of treatment because of risk of birth defects. Should pregnancy occur during treatment with this drug, there is a high risk of birth defects.",Drugs used in Dermatology,Systemic,
everolimus,C,,Allergy and Immune System,Immunomodifiers,
evolocumab (rch),B1,,Cardiovascular System,Hypolipidaemic agents,
exemestane,C,Exemestane disrupts oestrogen dependent metabolism and may result in abortion.,Antineoplastic Agents,Hormonal antineoplastic agents,
exenatide,C,,Endocrine System,Hypoglycaemic agents,
ezetimibe,B3,The physiological hyperlipidaemia of pregnancy does not require treatment.,Cardiovascular System,Hypolipidaemic agents,
factor IX (human),C,The safe use of this drug during pregnancy has not been established in controlled clinical trials.,Cardiovascular System,Haemostatic agents,
factor IX (r CHO),B2,,Cardiovascular System,Haemostatic agents,
famciclovir,B1,,Antimicrobials,Antiviral agents,
famotidine,B1,,Alimentary System,"Hyperacidity, reflux, ulcers",
fampridine,C,,Central Nervous System,,
faricimab,D,"Based on the mechanism of action of faricimab (VEGF and Ang-2 inhibition), there is a potential risk to female reproductive capacity, and to embryo-fetal development. VEGF inhibition has been shown to cause malformations, embryofetal resorption and decreased fetal weight. No dedicated studies addressing the effects of Ang-2 inhibition on pregnancy are available. Based on nonclinical information Ang-2 inhibition may lead to effects comparable to VEGF inhibition. Systemic exposures after ocular administration of faricimab is very low.",Ophthalmic Drugs,,
febuxostat,B1,,Musculoskeletal System,Agents used in gout and hyperuricaemia,
felodipine,C,Calcium channel blockers carry the potential to produce fetal hypoxia associated with maternal hypotension.  ,Cardiovascular System,Antihypertensives,Calcium channel blockers
fenfluramine,B2,Weight reduction using appetite suppressant drugs is not recommended in pregnancy.,Metabolism,Anorectic and weight reducing agents,
fenofibrate,B3,The physiological hyperlipidaemia of pregnancy does not require treatment.,Cardiovascular System,Hypolipidaemic agents,
fenoterol,A,,Cardiovascular System,Adrenergic stimulants,
fenoterol,A,,Respiratory System,Inhalational agents,Bronchospasm relaxants
fentanyl,C,Opioid analgesics may cause respiratory depression in the newborn infant. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics
fentanyl / ropivacaine,C,Opioid analgesics may cause respiratory depression in the newborn infant. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal and anti-inflammatory agents),
ferric carboxymaltose,B3,,Blood and Haemopoietic System,,
ferucarbotran,B1,,Diagnostic Agents,Radiographic agents,
fexofenadine,B2,,Allergy and Immune System,Antihistamines,
fezolinetant,B3,,Central Nervous System,,
fibrin,B2,,Cardiovascular System,Haemostatic agents,
fibrinogen,B2,,Cardiovascular System,Haemostatic agents,
fibrinogen / thrombin,B2,,Cardiovascular System,Haemostatic agents,
fibronectin,B2,,Cardiovascular System,Haemostatic agents,
fidaxomicin,B1,,Antimicrobials,Antibiotics,
filgrastim,B3,,Blood and Haemopoietic System,Haemopoietic agents,
finasteride,X,Finasteride may cause abnormalities of the external genitalia of a male fetus.,Drugs used in Dermatology,Topical,
finasteride,X,Finasteride may cause abnormalities of the external genitalia of a male fetus.,Genitourinary System,Prostate hyperplasia,
finerenone,D,"Adverse effects on embryofetal development, including teratogenicity, were observed with finerenone in rats.",Metabolism,Agents used for the treatment of metabolic disorders,
fingolimod,D,"This drug causes cardiovascular malformations in rats, and post-implantation loss and/or abortion in rats and rabbits.",Allergy and Immune System,Immunomodifiers,
flecainide,B3,,Cardiovascular System,Antiarrhythmics,
fleroxacin,B3,,Antimicrobials,Antibiotics,Quinolones
flucloxacillin,B1,,Antimicrobials,Antibiotics,Penicillins
fluconazole,D,Effective contraceptive measures should be considered in women of child-bearing potential and should continue throughout the treatment period and for approximately 1 week (5 to 6 half-lives) after the final dose. There have been reports of spontaneous abortion and congenital abnormalities in infants whose mothers were treated with 150 mg of fluconazole as a single or repeated dose in the first trimester. Repeated doses of fluconazole (400-800mg daily) have been associated with a consistent pattern of birth defects similar to those seen in animal studies.,Antimicrobials,Antifungal agents (see also topical antifungals),
flucytosine,B3,,Antimicrobials,Antifungal agents (see also topical antifungals),
fludarabine,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antibiotic cytotoxic agents,
fludrocortisone (systemic),C,,Endocrine System,Corticosteroids,Systemic
fludrocortisone (topical),A,,Endocrine System,Corticosteroids,Topical
flumazenil,B3,,"Detoxifying Agents, Antidotes ",,
flumetasone,A,,Endocrine System,Corticosteroids,Topical
flunisolide,B3,The benefits of asthma control outweigh any potential for an adverse pregnancy outcome.,Endocrine System,Corticosteroids,Inhalation/intranasal
flunitrazepam,C,"Benzodiazepines may cause hypotonia, respiratory depression and hypothermia in the newborn infant if used in high doses during labour. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.",Central Nervous System,Benzodiazepines,
fluocinolone,A,,Endocrine System,Corticosteroids,Topical
fluocortolone,A,,Endocrine System,Corticosteroids,Topical
fluorescein sodium (systemic),B2,,Ophthalmic Drugs,,
fluorometholone,B3,,Ophthalmic Drugs,,
fluorouracil,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antimetabolites,
fluoxetine,C,Selective serotonin reuptake inhibitors (SSRIs) have had limited use in pregnancy without a reported increase in birth defects.  The use of SSRIs in the third trimester may result in a withdrawal state in the newborn infant.,Central Nervous System,Antidepressants,Selective serotonin reuptake inhibitors (SSRIs)
fluoxymesterone,D,Anabolic steroids and other substances with androgenic effects may have a virilising effect on the female fetus and should be avoided during pregnancy.,Endocrine System,Androgens and anabolic steroids,
flupenthixol,C,"When given in high doses during late pregnancy, related compounds have caused prolonged neurological disturbances in the newborn infant.",Central Nervous System,Antipsychotic drugs,
fluphenazine,C,"When given in high doses during late pregnancy, phenothiazines have caused prolonged neurological disturbances in the newborn infant.",Central Nervous System,Antipsychotic drugs,Phenothiazines
flurazepam,C,"Benzodiazepines may cause hypotonia, respiratory depression and hypothermia in the newborn infant if used in high doses during labour. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.",Central Nervous System,Benzodiazepines,
flurbiprofen,C,"The safety of this product for use in human pregnancy has not been established. Reproductive studies in rats showed that flurbiprofen had a significant effect on parturition at doses of >0.4 mg/kg/day. Additionally, flurbiprofen was considered embryolethal at doses > 4.0 mg/kg/day. Because of the known effects of prostaglandin-inhibiting drugs on the fetal cardiovascular system of rats (closure of the ductus arteriosus), the use of flurbiprofen eye drops during late pregnancy should be avoided. Flurbiprofen should only be used in pregnancy when the potential benefit to the patient outweighs the potential risk to the fetus.",Ophthalmic Drugs,,
fluticasone furoate,B3,The benefits of asthma control outweigh any potential for an adverse pregnancy outcome.,Endocrine System,Corticosteroids,Inhalation/intranasal
fluticasone furoate / vilanterol trifenatate,B3,,Respiratory System,Inhalational agents,Preventative aerosols and inhalations
fluticasone propionate,B3,The benefits of asthma control outweigh any potential for an adverse pregnancy outcome.,Respiratory System,Inhalational agents,Preventative aerosols and inhalations
fluticasone propionate / eformoterol fumarate,B3,,Respiratory System,Inhalational agents,
fluticasone propionate / salmeterol xinafoate,B3,,Respiratory System,Inhalational agents,
fluvastatin,D,"Cholesterol and other products of the cholesterol biosynthesis pathway are essential components for fetal development, including synthesis of steroids and cell membranes. Because of the ability of inhibitors of HMG-CoA reductase to decrease the synthesis of cholesterol and possibly other products of the cholesterol biosynthesis pathway, these drugs may cause fetal harm when administered to a pregnant woman. The physiological hyperlipidaemia of pregnancy does not require treatment.",Cardiovascular System,Hypolipidaemic agents,
fluvoxamine,C,Selective serotonin reuptake inhibitors (SSRIs) have had limited use in pregnancy without a reported increase in birth defects.  The use of SSRIs in the third trimester may result in a withdrawal state in the newborn infant.,Central Nervous System,Antidepressants,Selective serotonin reuptake inhibitors (SSRIs)
folic acid,A,,Blood and Haemopoietic System,,
folinic acid (leucovorin),A,,Blood and Haemopoietic System,,
follicle stimulating hormone (recombinant human),B3,,Endocrine System,Ovulation inducers,Gonadotrophins
follitropin alfa,D,,Endocrine System,Pituitary hormones,
follitropin beta,B2,,Endocrine System,Pituitary hormones,
follitropin delta,D,,Endocrine System,Pituitary hormones,
fomepizole,B2,,"Detoxifying Agents, Antidotes",,
fomivirsen,B2,,Antimicrobials,Antiviral agents,
fondaparinux,C,All anticoagulants and thrombolytic agents can produce placental haemorrhage and subsequent prematurity and fetal loss.,Cardiovascular System,Anticoagulants and thrombolytic agents,
formoterol,B3,,Respiratory System,Inhalational agents,Bronchospasm relaxants
fosamprenavir,B3,,Antimicrobials,Antiviral agents,
fosaprepitant,B2,,Antineoplastic Agents,Non-cytotoxic supportive therapy,
foscarnet,B3,,Antimicrobials,Antiviral agents,
